strain,date,retail_and_recreation_percent_change_from_baseline,binned_mobility
USA/CA-ALSR-1627/2020,2020-04-27,-56.0,0-25%
USA/CA-CZB-1424/2020,2020-03-19,-32.0,75-100%
USA/CA-CZB-1423/2020,2020-03-19,-32.0,75-100%
USA/CA-CZB-1431/2020,2020-03-23,-46.0,50-75%
USA/CA-CZB-1274/2020,2020-04-15,-54.0,25-50%
USA/CA-CZB-1346/2020,2020-04-08,-53.0,25-50%
USA/CA-IGI-0110/2020,2020-06-07,-53.0,25-50%
USA/CA-IGI-0122/2020,2020-06-07,-53.0,25-50%
USA/CA-CZB-1354/2020,2020-04-11,-59.0,0-25%
USA/CA-CZB-1146/2020,2020-04-28,-73.0,0-25%
USA/CA-CZB-1119/2020,2020-04-29,-75.0,0-25%
USA/CA-CZB-1109/2020,2020-04-29,-75.0,0-25%
USA/CA-CZB-1103/2020,2020-04-26,-77.0,0-25%
USA/CA-CZB-1095/2020,2020-04-26,-77.0,0-25%
USA/CA-CZB-1094/2020,2020-04-26,-77.0,0-25%
USA/CA-CZB-1101/2020,2020-04-26,-77.0,0-25%
USA/CA-ALSR-0990-SAN/2020,2020-03-29,-50.0,25-50%
USA/CA-CZB-1676/2020,2020-03-29,-48.0,25-50%
USA/CA-CZB-1713/2020,2020-04-02,-39.0,75-100%
USA/CA-CZB-1682/2020,2020-03-30,-39.0,75-100%
USA/CA-CSMC78/2020,2020-03-25,-43.0,50-75%
USA/CA-ALSR-0989-SAN/2020,2020-03-29,-50.0,25-50%
USA/CA-SR0178/2020,2020-03-19,-31.0,75-100%
USA/CA-SR0113/2020,2020-03-24,-43.0,50-75%
USA/CA-CSMC52/2020,2020-04-05,-53.0,25-50%
USA/CA-CSMC32/2020,2020-04-12,-64.0,0-25%
USA/CA-CSMC16/2020,2020-04-12,-64.0,0-25%
USA/CA-ALSR-0661-IPL/2020,2020-04-17,-55.0,25-50%
USA/CA-CZB080/2020,2020-03-27,-72.0,0-25%
USA/CA-CSMC115/2020,2020-04-10,-49.0,25-50%
USA/CA-CSMC19/2020,2020-03-24,-43.0,50-75%
USA/CA-ALSR-1448/2020,2020-03-25,-44.0,50-75%
USA/CA-SR0120/2020,2020-03-25,-44.0,50-75%
USA/CA-ALSR-0831-IPL/2020,2020-04-05,-57.0,0-25%
USA/CA-ALSR-0508-SAN/2020,2020-03-30,-42.0,75-100%
USA/CA-SR0391/2020,2020-04-13,-48.0,25-50%
USA/CA-CZB-1214/2020,2020-03-22,-62.0,0-25%
USA/CA-CZB-1213/2020,2020-03-22,-62.0,0-25%
USA/CA-CSMC121/2020,2020-04-04,-50.0,25-50%
USA/CA-ALSR-1089-SAN/2020,2020-06-14,-33.0,75-100%
USA/CA-ALSR-1747/2020,2020-05-28,-42.0,75-100%
USA/CA-ALSR-0547-IPL/2020,2020-04-29,-48.0,25-50%
USA/CA-ALSR-0725-IPL/2020,2020-05-03,-52.0,25-50%
USA/CA-CSMC98/2020,2020-04-06,-49.0,25-50%
USA/CA-CZB-1230/2020,2020-03-16,-8.0,75-100%
USA/CA-CSMC29/2020,2020-03-24,-43.0,50-75%
USA/CA-CSMC89/2020,2020-03-25,-43.0,50-75%
USA/CA-SR0104/2020,2020-03-14,-13.0,75-100%
USA/CA-CSMC59/2020,2020-04-12,-64.0,0-25%
USA/CA-CSMC144/2020,2020-04-07,-51.0,25-50%
USA/CA-CSMC73/2020,2020-03-25,-43.0,50-75%
USA/CA-CSMC77/2020,2020-03-25,-43.0,50-75%
USA/CA-CSMC3/2020,2020-03-26,-43.0,50-75%
USA/CA-CSMC48/2020,2020-04-08,-49.0,25-50%
USA/CA-CSMC47/2020,2020-04-08,-49.0,25-50%
USA/CA-CSMC54/2020,2020-04-06,-49.0,25-50%
USA/CA-CZB-1589/2020,2020-03-23,-32.0,75-100%
USA/CA-CZB-2165/2020,2020-05-21,-44.0,50-75%
USA/CA-CZB-1854/2020,2020-04-26,-60.0,0-25%
USA/CA-CZB-2030/2020,2020-05-07,-48.0,25-50%
USA/CA-CZB-2157/2020,2020-05-21,-44.0,50-75%
USA/CA-CZB-2340/2020,2020-05-11,-49.0,25-50%
USA/CA-CZB-2166/2020,2020-05-21,-44.0,50-75%
USA/CA-CZB-1890/2020,2020-04-18,-63.0,0-25%
USA/CA-CZB-1891/2020,2020-04-18,-63.0,0-25%
USA/CA-CZB-1710/2020,2020-04-01,-39.0,75-100%
USA/CA-CZB-1969/2020,2020-05-05,-48.0,25-50%
USA/CA-CZB-1963/2020,2020-05-05,-48.0,25-50%
USA/CA-CZB-1772/2020,2020-03-29,-62.0,0-25%
USA/CA-CDPH010/2020,2020-03-27,-30.0,75-100%
USA/CA-CZB-1777/2020,2020-03-29,-62.0,0-25%
USA/CA-CZB0100/2020,2020-03-27,-72.0,0-25%
USA/CA-CZB0709/2020,2020-03-22,-72.0,0-25%
USA/CA-CZB0731/2020,2020-03-30,-67.0,0-25%
USA/CA-CZB-1121/2020,2020-03-27,-72.0,0-25%
USA/CA-CZB-1131/2020,2020-03-30,-67.0,0-25%
USA/CA-CSMC103/2020,2020-03-21,-48.0,25-50%
USA/CA-CZB-1132/2020,2020-03-29,-75.0,0-25%
USA/CA-CZB0147/2020,2020-04-07,-70.0,0-25%
USA/CA-SR0136/2020,2020-03-13,-4.0,75-100%
USA/CA-SR0098/2020,2020-03-13,-4.0,75-100%
USA/CA-CZB0740/2020,2020-03-30,-67.0,0-25%
USA/CA-CZB-1282/2020,2020-03-31,-43.0,50-75%
USA/CA-SR0418/2020,2020-03-17,-24.0,75-100%
USA/CA-SR0424/2020,2020-03-17,-24.0,75-100%
USA/CA-SR0430/2020,2020-03-12,-3.0,75-100%
USA/CA-CZB-1421/2020,2020-03-19,-32.0,75-100%
USA/CA-CZB-1425/2020,2020-03-19,-32.0,75-100%
USA/CA-SR0250/2020,2020-03-21,-49.0,25-50%
USA/CA-CZB-1427/2020,2020-03-20,-51.0,25-50%
USA/CA-SR0119/2020,2020-03-25,-44.0,50-75%
USA/CA-ALSR-0586-SAN/2020,2020-04-13,-48.0,25-50%
USA/CA-ALSR-0590-SAN/2020,2020-04-13,-48.0,25-50%
USA/CA-CSMC136/2020,2020-04-05,-53.0,25-50%
USA/CA-ALSR-0945-SAN/2020,2020-03-27,-45.0,50-75%
USA/CA-ALSR-0699-SAN/2020,2020-03-27,-45.0,50-75%
USA/CA-CZB-1782/2020,2020-06-01,-55.0,25-50%
USA/CA-CZB-1324/2020,2020-05-20,-56.0,0-25%
USA/CA-CZB-2348/2020,2020-05-12,-47.0,50-75%
USA/CA-CZB-1753/2020,2020-03-20,-52.0,25-50%
USA/CA-CZB-1130/2020,2020-04-04,-79.0,0-25%
USA/CA-CZB071/2020,2020-03-27,-72.0,0-25%
USA/CA-IGI-0031/2020,2020-05-14,-54.0,25-50%
USA/CA-IGI-0060/2020,2020-05-27,-48.0,25-50%
USA/CA-IGI-0121/2020,2020-05-21,-49.0,25-50%
USA/CA-CZB-1733/2020,2020-05-12,-48.0,25-50%
USA/CA-IGI-0086/2020,2020-05-21,-49.0,25-50%
USA/CA-CZB-2459/2020,2020-05-20,-67.0,0-25%
USA/CA-CZB-2463/2020,2020-05-18,-68.0,0-25%
USA/CA-CZB-2464/2020,2020-05-18,-68.0,0-25%
USA/CA-CZB-2465/2020,2020-05-18,-68.0,0-25%
USA/CA-CZB-2458/2020,2020-05-20,-67.0,0-25%
USA/CA-IGI-0124/2020,2020-05-20,-50.0,25-50%
USA/CA-CZB-2462/2020,2020-05-20,-67.0,0-25%
USA/CA-IGI-0089/2020,2020-05-20,-50.0,25-50%
USA/CA-CZB-2460/2020,2020-05-20,-67.0,0-25%
USA/CA-IGI-0061/2020,2020-05-21,-49.0,25-50%
USA/CA-ALSR-1078-SAN/2020,2020-06-22,-32.0,75-100%
USA/CA-ALSR-1080-SAN/2020,2020-06-22,-32.0,75-100%
USA/CA-CDPH038/2020,2020-06-25,-8.0,75-100%
USA/CA-CZB-1458/2020,2020-04-18,-62.0,0-25%
USA/CA-CZB-1600/2020,2020-03-31,-28.0,75-100%
USA/CA-ALSR-1077-SAN/2020,2020-06-21,-34.0,75-100%
USA/CA-CZB-2280/2020,2020-06-18,-45.0,50-75%
USA/CA-IGI-0101/2020,2020-06-02,-53.0,25-50%
USA/CA-CZB-2281/2020,2020-06-18,-45.0,50-75%
USA/CA-CZB-2282/2020,2020-06-18,-45.0,50-75%
USA/CA-CSMC46/2020,2020-04-08,-49.0,25-50%
USA/CA-CSMC31/2020,2020-03-31,-42.0,75-100%
USA/CA-CSMC44/2020,2020-03-30,-42.0,75-100%
USA/CA-CSMC105/2020,2020-04-01,-41.0,75-100%
USA/CA-SR0377/2020,2020-04-12,-65.0,0-25%
USA/CA-CSMC122/2020,2020-04-04,-50.0,25-50%
USA/CA-CZB-1525/2020,2020-05-05,-45.0,50-75%
USA/CA-ALSR-1334/2020,2020-04-27,-56.0,0-25%
USA/CA-IGI-0112/2020,2020-06-02,-53.0,25-50%
USA/CA-IGI-0119/2020,2020-06-04,-50.0,25-50%
USA/CA-CSMC69/2020,2020-03-27,-45.0,50-75%
USA/CA-CSMC39/2020,2020-04-02,-43.0,50-75%
USA/CA-ALSR-1447/2020,2020-03-26,-45.0,50-75%
USA/CA-CSMC96/2020,2020-04-01,-41.0,75-100%
USA/CA-CDPH025/2020,2020-05-18,-45.0,50-75%
USA/CA-CDPH028/2020,2020-05-25,-46.0,50-75%
USA/CA-CSMC28/2020,2020-03-24,-43.0,50-75%
USA/CA-CSMC101/2020,2020-04-01,-41.0,75-100%
USA/CA-CSMC55/2020,2020-04-06,-49.0,25-50%
USA/CA-CZB-1452/2020,2020-04-06,-46.0,50-75%
USA/CA-CSMC8/2020,2020-03-26,-43.0,50-75%
USA/CA-CSMC139/2020,2020-04-11,-51.0,25-50%
USA/CA-CSMC5/2020,2020-04-12,-64.0,0-25%
USA/CA-CZB-1793/2020,2020-04-15,-50.0,25-50%
USA/CA-CZB-1517/2020,2020-05-12,-45.0,50-75%
USA/CA-CZB-1543/2020,2020-04-27,-55.0,25-50%
USA/CA-CSMC40/2020,2020-04-02,-43.0,50-75%
USA/CA-ALSR-1629/2020,2020-04-24,-58.0,0-25%
USA/CA-ALSR-1648/2020,2020-04-25,-60.0,0-25%
USA/CA-ALSR-1917/2020,2020-04-23,-58.0,0-25%
USA/CA-SR0175/2020,2020-04-27,-56.0,0-25%
USA/CA-SR0234/2020,2020-04-23,-58.0,0-25%
USA/CA-ALSR-0555-SAN/2020,2020-04-30,-50.0,25-50%
USA/CA-ALSR-1530/2020,2020-04-30,-50.0,25-50%
USA/CA-ALSR-1337/2020,2020-05-03,-53.0,25-50%
USA/CA-CZB-1524/2020,2020-05-05,-45.0,50-75%
USA/CA-CZB-2412/2020,2020-05-20,-44.0,50-75%
USA/CA-CDPH026/2020,2020-05-24,-38.0,75-100%
USA/CA-CZB-1730/2020,2020-04-06,-45.0,50-75%
USA/CA-CSMC60/2020,2020-03-31,-42.0,75-100%
USA/CA-CSMC82/2020,2020-04-06,-49.0,25-50%
USA/CA-CZB-1520/2020,2020-05-10,-45.0,50-75%
USA/CA-CZB-1546/2020,2020-05-10,-45.0,50-75%
USA/CA-CZB-1518/2020,2020-05-11,-45.0,50-75%
USA/CA-CZB-1540/2020,2020-04-21,-56.0,0-25%
USA/CA-CZB-1545/2020,2020-05-10,-45.0,50-75%
USA/CA-CZB-1528/2020,2020-05-02,-48.0,25-50%
USA/CA-CZB-1519/2020,2020-05-10,-45.0,50-75%
USA/CA-CZB-1547/2020,2020-05-10,-45.0,50-75%
USA/CA-ALSR-1578/2020,2020-04-02,-44.0,50-75%
USA/CA-ALSR-0515-SAN/2020,2020-03-03,6.0,75-100%
USA/CA-ALSR-0528-SAN/2020,2020-04-02,-44.0,50-75%
USA/CA-ALSR-0822-SAN/2020,2020-04-02,-44.0,50-75%
USA/CA-ALSR-0764-SAN/2020,2020-04-02,-44.0,50-75%
USA/CA-CZB-1227/2020,2020-03-24,-53.0,25-50%
USA/CA-SR0189/2020,2020-03-25,-44.0,50-75%
USA/CA-ALSR-1432/2020,2020-03-26,-45.0,50-75%
USA/CA-ALSR-0718-SAN/2020,2020-03-26,-45.0,50-75%
USA/CA-CZB-1562/2020,2020-04-01,-39.0,75-100%
USA/CA-CZB-1560/2020,2020-03-29,-46.0,50-75%
USA/CA-CZB-1563/2020,2020-04-01,-39.0,75-100%
USA/CA-SR0193/2020,2020-03-22,-51.0,25-50%
USA/CA-SR0128/2020,2020-03-27,-45.0,50-75%
USA/CA-ALSR-0943-SAN/2020,2020-03-27,-45.0,50-75%
USA/CA-SR0253/2020,2020-03-26,-45.0,50-75%
USA/CA-CZB-1341/2020,2020-04-07,-50.0,25-50%
USA/CA-CZB-1459/2020,2020-04-18,-62.0,0-25%
USA/CA-CZB-1457/2020,2020-04-10,-49.0,25-50%
USA/CA-ALSR-1443/2020,2020-03-27,-45.0,50-75%
USA/CA-SR0258/2020,2020-03-18,-33.0,75-100%
USA/CA-SR0373/2020,2020-04-06,-49.0,25-50%
USA/CA-SR0135/2020,2020-03-30,-42.0,75-100%
USA/CA-SR0179/2020,2020-03-24,-43.0,50-75%
USA/CA-SR0448/2020,2020-04-17,-60.0,0-25%
USA/CA-ALSR-0944-SAN/2020,2020-03-27,-45.0,50-75%
USA/CA-ALSR-0701-SAN/2020,2020-03-27,-45.0,50-75%
USA/CA-ALSR-0815-SAN/2020,2020-03-29,-50.0,25-50%
USA/CA-ALSR-0700-SAN/2020,2020-03-27,-45.0,50-75%
USA/CA-ALSR-0487-SAN/2020,2020-04-07,-51.0,25-50%
USA/CA-ALSR-0697-SAN/2020,2020-03-25,-44.0,50-75%
USA/CA-ALSR-0795-SAN/2020,2020-04-03,-44.0,50-75%
USA/CA-ALSR-1588/2020,2020-04-21,-58.0,0-25%
USA/CA-SR0395/2020,2020-04-03,-44.0,50-75%
USA/CA-SR0228/2020,2020-04-06,-49.0,25-50%
USA/CA-IGI-0069/2020,2020-06-09,-47.0,50-75%
USA/CA-SR0349/2020,2020-04-28,-56.0,0-25%
USA/CA-ALSR-1832/2020,2020-05-14,-48.0,25-50%
USA/CA-ALSR-1301/2020,2020-05-02,-52.0,25-50%
USA/CA-ALSR-1275/2020,2020-05-05,-47.0,50-75%
USA/CA-ALSR-1254/2020,2020-05-04,-48.0,25-50%
USA/CA-ALSR-1804/2020,2020-05-10,-50.0,25-50%
USA/CA-ALSR-1303/2020,2020-05-02,-52.0,25-50%
USA/CA-ALSR-1231/2020,2020-05-05,-47.0,50-75%
USA/CA-ALSR-1419/2020,2020-03-15,-15.0,75-100%
USA/CA-SR0094/2020,2020-03-16,-11.0,75-100%
USA/CA-SR0257/2020,2020-03-19,-31.0,75-100%
USA/CA-SR0198/2020,2020-03-20,-41.0,75-100%
USA/CA-ALSR-1687/2020,2020-03-24,-43.0,50-75%
USA/CA-ALSR-1662/2020,2020-03-24,-43.0,50-75%
USA/CA-ALSR-0766-SAN/2020,2020-04-15,-48.0,25-50%
USA/CA-SR0386/2020,2020-04-09,-50.0,25-50%
USA/CA-ALSR-0689-SAN/2020,2020-03-26,-45.0,50-75%
USA/CA-SR0188/2020,2020-03-27,-45.0,50-75%
USA/CA-CZB-2089/2020,2020-05-05,-31.0,75-100%
USA/CA-ALSR-1436/2020,2020-03-26,-45.0,50-75%
USA/CA-ALSR-0536-SAN/2020,2020-05-04,-48.0,25-50%
USA/CA-ALSR-0849-SAN/2020,2020-04-22,-57.0,0-25%
USA/CA-ALSR-0651-SAN/2020,2020-04-23,-58.0,0-25%
USA/CA-SR0358/2020,2020-04-19,-64.0,0-25%
USA/CA-SR0409/2020,2020-04-10,-56.0,0-25%
USA/CA-SR0368/2020,2020-04-14,-45.0,50-75%
USA/CA-SR0359/2020,2020-04-11,-49.0,25-50%
USA/CA-ALSR-1620/2020,2020-04-22,-57.0,0-25%
USA/CA-ALSR-0917-SAN/2020,2020-04-23,-58.0,0-25%
USA/CA-ALSR-0671-SAN/2020,2020-04-23,-58.0,0-25%
USA/CA-ALSR-0541-SAN/2020,2020-04-23,-58.0,0-25%
USA/CA-ALSR-1393/2020,2020-05-06,-49.0,25-50%
USA/CA-ALSR-0933-SAN/2020,2020-04-23,-58.0,0-25%
USA/CA-ALSR-1453/2020,2020-03-24,-43.0,50-75%
USA/CA-CZB-2035/2020,2020-05-11,-48.0,25-50%
USA/CA-CZB-2034/2020,2020-05-11,-48.0,25-50%
USA/CA-CZB-2423/2020,2020-05-16,-50.0,25-50%
USA/CA-CZB-2422/2020,2020-05-16,-50.0,25-50%
USA/CA-CZB-2041/2020,2020-05-14,-47.0,50-75%
USA/CA-CZB-2421/2020,2020-05-16,-50.0,25-50%
USA/CA-CZB-2039/2020,2020-05-14,-47.0,50-75%
USA/CA-CZB-1499/2020,2020-05-08,-45.0,50-75%
USA/CA-CZB-2037/2020,2020-05-13,-46.0,50-75%
USA/CA-CZB-2036/2020,2020-05-12,-47.0,50-75%
USA/CA-CZB-1504/2020,2020-05-08,-45.0,50-75%
USA/CA-CZB-1503/2020,2020-05-08,-45.0,50-75%
USA/CA-CZB-1413/2020,2020-03-12,2.0,75-100%
USA/CA-CZB-1446/2020,2020-03-29,-56.0,0-25%
USA/CA-CZB-1420/2020,2020-03-16,-15.0,75-100%
USA/CA-CZB-1418/2020,2020-03-16,-15.0,75-100%
USA/CA-CZB-1455/2020,2020-04-09,-52.0,25-50%
USA/CA-CZB-1450/2020,2020-04-02,-45.0,50-75%
USA/CA-CZB-1435/2020,2020-03-24,-48.0,25-50%
USA/CA-CZB-1442/2020,2020-03-27,-51.0,25-50%
USA/CA-CZB-1428/2020,2020-03-22,-61.0,0-25%
USA/CA-CZB-1485/2020,2020-05-05,-47.0,50-75%
USA/CA-CZB-1482/2020,2020-04-30,-49.0,25-50%
USA/CA-CZB-1466/2020,2020-04-26,-57.0,0-25%
USA/CA-CZB-1463/2020,2020-04-22,-54.0,25-50%
USA/CA-CZB-1460/2020,2020-04-22,-54.0,25-50%
USA/CA-CZB-1461/2020,2020-04-22,-54.0,25-50%
USA/CA-CZB-1484/2020,2020-04-30,-49.0,25-50%
USA/CA-CZB-1486/2020,2020-05-06,-47.0,50-75%
USA/CA-CZB-1464/2020,2020-04-24,-55.0,25-50%
USA/CA-CZB-1478/2020,2020-04-30,-49.0,25-50%
USA/CA-CZB-1481/2020,2020-04-30,-49.0,25-50%
USA/CA-CZB-1477/2020,2020-04-30,-49.0,25-50%
USA/CA-CZB-1479/2020,2020-04-30,-49.0,25-50%
USA/CA-CZB-2424/2020,2020-05-15,-44.0,50-75%
USA/CA-CZB-1702/2020,2020-04-01,-39.0,75-100%
USA/CA-CZB-1694/2020,2020-04-01,-39.0,75-100%
USA/CA-CZB-1707/2020,2020-04-01,-39.0,75-100%
USA/CA-CZB-1718/2020,2020-04-02,-39.0,75-100%
USA/CA-CZB-1677/2020,2020-03-29,-48.0,25-50%
USA/CA-CZB-1701/2020,2020-04-01,-39.0,75-100%
USA/CA-CZB-1693/2020,2020-04-01,-39.0,75-100%
USA/CA-CZB-1704/2020,2020-04-01,-39.0,75-100%
USA/CA-CZB-1698/2020,2020-04-01,-39.0,75-100%
USA/CA-CZB-1705/2020,2020-04-01,-39.0,75-100%
USA/CA-CZB-1695/2020,2020-04-01,-39.0,75-100%
USA/CA-CZB-1709/2020,2020-04-01,-39.0,75-100%
USA/CA-CZB-1697/2020,2020-04-01,-39.0,75-100%
USA/CA-CZB-1690/2020,2020-04-01,-39.0,75-100%
USA/CA-CZB-1720/2020,2020-04-02,-39.0,75-100%
USA/CA-CZB-1691/2020,2020-04-01,-39.0,75-100%
USA/CA-CZB-1722/2020,2020-04-02,-39.0,75-100%
USA/CA-CZB-1727/2020,2020-04-02,-39.0,75-100%
USA/CA-CZB-1721/2020,2020-04-02,-39.0,75-100%
USA/CA-CZB-1700/2020,2020-04-01,-39.0,75-100%
USA/CA-CZB-1684/2020,2020-03-31,-38.0,75-100%
USA/CA-CZB-1689/2020,2020-04-01,-39.0,75-100%
USA/CA-CZB-1696/2020,2020-04-01,-39.0,75-100%
USA/CA-CZB-1711/2020,2020-04-01,-39.0,75-100%
USA/CA-CZB-1726/2020,2020-04-02,-39.0,75-100%
USA/CA-ALSR-1381/2020,2020-03-30,-42.0,75-100%
USA/CA-ALSR-1669/2020,2020-03-19,-31.0,75-100%
USA/CA-ALSR-0847-IPL/2020,2020-04-28,-47.0,50-75%
USA/CA-ALSR-0659-IPL/2020,2020-04-28,-47.0,50-75%
USA/CA-ALSR-0834-IPL/2020,2020-04-03,-48.0,25-50%
USA/CA-ALSR-0500-IPL/2020,2020-04-03,-48.0,25-50%
USA/CA-ALSR-0627-IPL/2020,2020-04-20,-49.0,25-50%
USA/CA-ALSR-0639-IPL/2020,2020-04-26,-58.0,0-25%
USA/CA-ALSR-0623-IPL/2020,2020-04-20,-49.0,25-50%
USA/CA-ALSR-0802-IPL/2020,2020-04-02,-46.0,50-75%
USA/CA-ALSR-0496-IPL/2020,2020-04-09,-52.0,25-50%
USA/CA-ALSR-1001-IPL/2020,2020-04-20,-49.0,25-50%
USA/CA-ALSR-1025-IPL/2020,2020-04-20,-49.0,25-50%
USA/CA-ALSR-0839-IPL/2020,2020-04-20,-49.0,25-50%
USA/CA-ALSR-0628-IPL/2020,2020-04-20,-49.0,25-50%
USA/CA-ALSR-1844/2020,2020-05-18,-46.0,50-75%
USA/CA-ALSR-1015-IPL/2020,2020-04-19,-59.0,0-25%
USA/CA-ALSR-0610-IPL/2020,2020-04-19,-59.0,0-25%
USA/CA-ALSR-0495-IPL/2020,2020-04-03,-48.0,25-50%
USA/CA-ALSR-0978-IPL/2020,2020-04-03,-48.0,25-50%
USA/CA-ALSR-0931-IPL/2020,2020-04-27,-47.0,50-75%
USA/CA-SR0432/2020,2020-03-25,-44.0,50-75%
USA/CA-ALSR-0706-SAN/2020,2020-03-28,-50.0,25-50%
USA/CA-ALSR-0955-SAN/2020,2020-03-28,-50.0,25-50%
USA/CA-ALSR-0930-IPL/2020,2020-04-30,-43.0,50-75%
USA/CA-ALSR-0667-IPL/2020,2020-04-30,-43.0,50-75%
USA/CA-ALSR-0679-IPL/2020,2020-04-23,-52.0,25-50%
USA/CA-ALSR-0905-IPL/2020,2020-04-28,-47.0,50-75%
USA/CA-ALSR-0675-IPL/2020,2020-04-28,-47.0,50-75%
USA/CA-ALSR-0646-IPL/2020,2020-04-28,-47.0,50-75%
USA/CA-ALSR-0911-IPL/2020,2020-04-28,-47.0,50-75%
USA/CA-CZB-1776/2020,2020-03-17,-47.0,50-75%
USA/CA-CZB-2023/2020,2020-04-28,-54.0,25-50%
USA/CA-CZB-1659/2020,2020-04-21,-56.0,0-25%
USA/CA-CZB-1859/2020,2020-04-27,-55.0,25-50%
USA/CA-CZB-1947/2020,2020-05-03,-55.0,25-50%
USA/CA-CZB-2006/2020,2020-04-29,-54.0,25-50%
USA/CA-CZB-2024/2020,2020-05-07,-48.0,25-50%
USA/CA-CZB-1650/2020,2020-04-17,-59.0,0-25%
USA/CA-CZB-1654/2020,2020-04-17,-59.0,0-25%
USA/CA-CZB-1652/2020,2020-04-17,-59.0,0-25%
USA/CA-CZB-1648/2020,2020-04-17,-59.0,0-25%
USA/CA-CZB-1888/2020,2020-04-16,-58.0,0-25%
USA/CA-CZB-1655/2020,2020-04-17,-59.0,0-25%
USA/CA-CZB-1649/2020,2020-04-16,-58.0,0-25%
USA/CA-CZB-1663/2020,2020-04-21,-56.0,0-25%
USA/CA-CZB-1656/2020,2020-04-20,-58.0,0-25%
USA/CA-CZB-1662/2020,2020-04-21,-56.0,0-25%
USA/CA-CZB-1664/2020,2020-04-25,-59.0,0-25%
USA/CA-CZB-1896/2020,2020-04-20,-58.0,0-25%
USA/CA-CZB-1661/2020,2020-04-21,-56.0,0-25%
USA/CA-CZB-1653/2020,2020-04-17,-59.0,0-25%
USA/CA-CZB-1651/2020,2020-04-17,-59.0,0-25%
USA/CA-CZB-1657/2020,2020-04-21,-56.0,0-25%
USA/CA-CZB-1658/2020,2020-04-21,-56.0,0-25%
USA/CA-CZB-2022/2020,2020-04-29,-54.0,25-50%
USA/CA-CZB-2418/2020,2020-05-21,-44.0,50-75%
USA/CA-CZB-2158/2020,2020-05-21,-44.0,50-75%
USA/CA-CZB-2192/2020,2020-05-26,-41.0,75-100%
USA/CA-CZB-2193/2020,2020-05-26,-41.0,75-100%
USA/CA-CZB-1893/2020,2020-04-19,-63.0,0-25%
USA/CA-CZB-1897/2020,2020-04-20,-58.0,0-25%
USA/CA-CZB-2160/2020,2020-05-21,-44.0,50-75%
USA/CA-CZB-1836/2020,2020-04-27,-55.0,25-50%
USA/CA-CZB-2163/2020,2020-05-21,-44.0,50-75%
USA/CA-CZB-1898/2020,2020-04-20,-58.0,0-25%
USA/CA-CZB-2351/2020,2020-05-12,-47.0,50-75%
USA/CA-CZB-1946/2020,2020-05-04,-49.0,25-50%
USA/CA-CZB-1982/2020,2020-05-05,-48.0,25-50%
USA/CA-CZB-1980/2020,2020-05-05,-48.0,25-50%
USA/CA-ALSR-0615-SAN/2020,2020-04-05,-54.0,25-50%
USA/CA-ALSR-0790-SAN/2020,2020-04-05,-54.0,25-50%
USA/CA-ALSR-0617-SAN/2020,2020-04-05,-54.0,25-50%
USA/CA-ALSR-0792-SAN/2020,2020-04-05,-54.0,25-50%
USA/CA-CDPH-UC27/2020,2020-03-12,-17.0,75-100%
USA/CA-CZB0750/2020,2020-04-02,-70.0,0-25%
USA/CA-CZB084/2020,2020-03-27,-72.0,0-25%
USA/CA-CZB0741/2020,2020-04-02,-70.0,0-25%
USA/CA-CZB013/2020,2020-03-17,-64.0,0-25%
USA/CA-UCSF-UC48/2020,2020-03-19,-66.0,0-25%
USA/CA-ALSR-0492-SAN/2020,2020-03-31,-43.0,50-75%
USA/CA-CSMC128/2020,2020-04-08,-49.0,25-50%
USA/CA-CDPH015/2020,2020-04-08,-52.0,25-50%
USA/CA-CZB-1134/2020,2020-04-11,-77.0,0-25%
USA/CA-CZB-1516/2020,2020-05-14,-45.0,50-75%
USA/CA-CZB-1532/2020,2020-04-29,-52.0,25-50%
USA/CA-CZB-1561/2020,2020-03-31,-38.0,75-100%
USA/CA-CSMC114/2020,2020-04-01,-41.0,75-100%
USA/CA-CSMC30/2020,2020-03-24,-43.0,50-75%
USA/CA-CZB-2548/2020,2020-05-06,-58.0,0-25%
USA/CA-CZB-2116/2020,2020-05-12,-57.0,0-25%
USA/CA-CSMC93/2020,2020-04-10,-49.0,25-50%
USA/CA-CZB-2538/2020,2020-05-18,-55.0,25-50%
USA/CA-CZB-2140/2020,2020-05-20,-51.0,25-50%
USA/CA-CZB-2139/2020,2020-05-20,-51.0,25-50%
USA/CA-CZB-2546/2020,2020-05-06,-58.0,0-25%
USA/CA-CZB-2547/2020,2020-05-06,-58.0,0-25%
USA/CA-CZB-2117/2020,2020-05-12,-57.0,0-25%
USA/CA-CZB-2118/2020,2020-05-12,-57.0,0-25%
USA/CA-CZB-2134/2020,2020-05-22,-50.0,25-50%
USA/CA-CZB-2119/2020,2020-05-12,-57.0,0-25%
USA/CA-CZB-2537/2020,2020-05-19,-52.0,25-50%
USA/CA-CZB-2115/2020,2020-05-12,-57.0,0-25%
USA/CA-CZB-2148/2020,2020-05-20,-51.0,25-50%
USA/CA-CZB-2127/2020,2020-05-21,-51.0,25-50%
USA/CA-CZB-2111/2020,2020-05-19,-52.0,25-50%
USA/CA-CZB-2536/2020,2020-05-19,-52.0,25-50%
USA/CA-CZB-2106/2020,2020-05-14,-58.0,0-25%
USA/CA-CZB-2109/2020,2020-05-14,-58.0,0-25%
